date,Type, U1A6, CMO1, CVL0, R1A1, R1A0, USL1, US01, CB41, CB11, J1A0, J1A1, J1A2, J2A0, J2A1, J2A2, G0B2, G1O2,CPDR92NC,CPDR9AFC,USDR1T,PCLOAAA
5/6/2013,STW,16,154,48,34,43,42,44,273,114,409,198,308,415,247,430,-1,0,,,,
5/7/2013,STW,16,160,49,34,43,42,44,270,115,410,194,305,408,236,425,-1,0,,,,
5/8/2013,STW,16,154,49,34,43,42,44,262,114,408,196,305,403,237,415,0,0,,,,
5/9/2013,STW,15,152,48,34,43,43,44,257,114,414,196,324,401,232,419,0,0,,,,
5/10/2013,STW,13,153,48,33,43,44,45,253,114,411,195,304,405,236,423,0,0,,,,
5/13/2013,STW,13,155,48,34,41,44,46,250,114,429,204,318,417,245,456,0,0,,,,
5/14/2013,STW,14,151,47,34,41,44,46,249,113,448,199,326,418,247,456,0,0,,,,
5/15/2013,STW,14,149,48,34,41,45,46,248,114,433,207,321,414,242,453,0,0,,,,
5/16/2013,STW,15,147,48,34,41,44,45,250,115,438,209,324,420,250,458,0,0,,,,
5/17/2013,STW,13,152,48,35,44,45,47,250,117,424,207,320,420,250,453,0,0,,,,
5/20/2013,STW,13,152,47,34,44,46,47,249,116,419,202,308,416,244,453,0,0,,,,
5/21/2013,STW,14,151,47,34,44,45,46,250,116,414,199,322,413,243,453,0,0,,,,
5/22/2013,STW,13,156,46,34,44,46,48,251,118,417,204,304,400,242,424,0,0,,,,
5/23/2013,STW,13,151,46,34,44,47,49,260,123,446,215,351,418,253,456,0,0,,,,
5/24/2013,STW,13,150,46,35,44,48,49,269,123,443,218,348,424,256,464,0,0,,,,
5/27/2013,STW,11,149,45,34,44,47,48,268,121,443,217,347,423,255,463,0,0,,,,
5/28/2013,STW,11,152,44,36,45,48,50,268,123,435,214,332,414,246,456,0,0,,,,
5/29/2013,STW,11,148,47,36,45,49,50,269,124,465,225,381,439,263,491,0,0,,,,
5/30/2013,STW,11,146,45,35,45,48,50,269,124,451,224,340,438,268,485,-1,0,,,,
5/31/2013,STW,11,148,46,35,46,29,31,263,123,454,230,383,465,287,500,-1,0,,,,
6/3/2013,STW,11,149,45,34,44,28,31,262,124,471,244,398,481,302,522,0,0,,,,
